core_paper_id,title,authors,year,venue,doi,stable_identifier,publisher_url,full_text_url,access_date,evidence_access_level,source_document_sha256,manuscript_version,pagination_matches_published_version,dataset,exact_cmapss_subset,number_of_engines,nasa_files_used,research_task,prediction_target,learning_status,healthy_data_definition,anomaly_or_degradation_onset_definition,rul_label_definition,window_size,evaluation_unit,train_validation_test_split,engine_disjoint,random_windows_from_same_engine_can_cross_partitions,preprocessing,scaling,operating_condition_treatment,regime_clustering,feature_selection,model,calibration,threshold_method,smoothing,persistence_or_event_semantics,explanation_method,authors_stated_limitations,protocol_identified_limitations,code_availability,data_availability,methodological_relevance,manuscript_citation_role,comparison_category,direct_numerical_comparison_permitted,exact_comparability_caveat,numerical_value_ids
LIT-010,Anomaly Detection and Remaining Useful Life Prediction for Turbofan Engines with a Key Point-Based Approach to Secure Health Management,"[""Yuntao Duan"",""Tao Zhang"",""Dunhuang Shi""]",2024,"Sensors 24(24), 8022",10.3390/s24248022,OpenAlex:W4405458612,https://doi.org/10.3390/s24248022,https://mdpi-res.com/d_attachment/sensors/sensors-24-08022/article_deploy/sensors-24-08022.pdf?version=1734343852,2026-09-03,publisher_full_text_verified,bf0d6aa9698b435f58ced8186844acbcc4ad38e767c430a2353b64f7219a3b44,version_of_record,True,NASA C-MAPSS,FD002,260,"{""train_FD002"":true,""test_FD002"":""NR"",""RUL_FD002"":""NR""}",key-point anomaly/degradation analysis and RUL planning,two lifecycle key points and remaining-life planning,analytical/statistical; not healthy-only learning,NR; method transforms complete trajectories,"two key points obtained by self-convolution, halving, and derivatives; not mapped to this project's normalized-life proxies",key-point-derived remaining-life construction,full trajectory,cycle and engine,FD002 lifecycle analysis; the paper's 'test set' identity is not explicit enough to equate with NASA official test,NR,NR,"feature fusion, self-convolution, half operation, derivative operation",NR,FD002 operating conditions are present but no endpoint-mode six-regime policy matching this project,NR,selected sensor-feature transformations,non-neural key-point method,NR,key-point rules,NR,NR,key-point positions,future work is needed for broader application and more complex conditions,"No compatible engine-disjoint proxy-alert evaluation, FAR, coverage, persistence, or delay semantics",not reported,NASA C-MAPSS public data,Closest FD002 anomaly/degradation context,related-work discussion of FD002 key-point alternatives,B,False,"FD002 aligns, but task, labels, split identity, threshold/event semantics, and metrics do not.",[]
LIT-013,Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders,"[""Pablo Sanchez Gallego"",""Karen Tatiana Reyes Mina"",""Bianca Elena Radu"",""Eugenio Jose Fernandez Vicente""]",2026,arXiv preprint / Universidad de Alcala author manuscript,10.48550/arXiv.2601.10269,arXiv:2601.10269,https://arxiv.org/abs/2601.10269,https://ebuah.uah.es/xmlui/bitstream/handle/10017/68237/early_sanchez_UAH_IA3_2026.pdf?isAllowed=y&sequence=3,2026-09-03,author_manuscript_verified,df38ad3e78089207ceabee3c1f502dc8757ea44d67b3c74d4bb1663a18a7948c,institutional_author_manuscript,False,NASA C-MAPSS,"FD001, FD002, FD003, FD004",100/260/100/249 run-to-failure engines,"{""train_FD002"":true,""test_FD002"":false,""RUL_FD002"":false}",early fault detection,window anomaly label,unsupervised healthy-only reconstruction,"first 85% of each trajectory, with 20% of healthy windows used for validation",final 10% of each trajectory is anomalous; middle 5% is excluded,not a RUL regression target,sequence windows; exact length reported in manuscript architecture section,window,"within-trajectory 85% baseline, 5% exclusion, 10% degraded test; random healthy windows form validation",False,True,regression-based operating-condition normalization before sequence construction,regression residual normalization,operating settings regressed out; residual effects remain in FD002/FD004,no endpoint K=6 clustering,low-information sensors removed per subset,LSTM autoencoder with four-dimensional latent representation,threshold derived from held-out healthy windows,adaptive reconstruction-error threshold,none beyond persistence,five consecutive over-threshold windows,reconstruction error; no sensor-level decomposition,85/15 boundary is heuristic; load changes and glitches cause false positives; residual condition effects remain; simulator-to-flight gap,"Same-engine windows cross development partitions, anomaly proxy differs, and official held-out engines are not used",NR in manuscript,NASA C-MAPSS public data,Strongest partial unsupervised FD002 anomaly comparator,motivation and bounded comparison of unsupervised LSTM reconstruction,B,False,"Same FD002 and anomaly intent, but non-engine-disjoint within-trajectory split, different proxy, threshold, persistence, and point metrics prohibit direct comparison.","[""LIT-013-V01"",""LIT-013-V02"",""LIT-013-V03"",""LIT-013-V04"",""LIT-013-V05"",""LIT-013-V06"",""LIT-013-V07"",""LIT-013-V08"",""LIT-013-V09"",""LIT-013-V10"",""LIT-013-V11"",""LIT-013-V12"",""LIT-013-V13"",""LIT-013-V14"",""LIT-013-V15"",""LIT-013-V16"",""LIT-013-V17"",""LIT-013-V18"",""LIT-013-V19"",""LIT-013-V20""]"
LIT-007,Autoencoder based Semi-Supervised Anomaly Detection in Turbofan Engines,"[""Ali Al Bataineh"",""Aakif Mairaj"",""Devinder Kaur""]",2020,International Journal of Advanced Computer Science and Applications 11(11),10.14569/IJACSA.2020.0111105,IJACSA:2020.0111105,https://thesai.org/Publications/ViewPaper?Code=IJACSA&Issue=11&SerialNo=5&Volume=11,https://thesai.org/Downloads/Volume11No11/Paper_5-Autoencoder_based_Semi_Supervised_Anomaly_Detection.pdf,2026-09-03,publisher_full_text_verified,ddf4a5084bb5874a55a518d5909db0cd353a5ec30ef18c74035f76ef6ba49155,version_of_record,True,NASA C-MAPSS,FD004,249,"{""train_FD004"":true,""test_FD004"":false,""RUL_FD004"":false}",anomaly detection,normal versus anomalous cycle,semi-supervised healthy-only autoencoder,first 60% of each selected trajectory treated as normal,last 5% treated as anomalous; intervening cycles excluded,not used,single-cycle feature vector,cycle,"220 engines train, 20 validation, 19 test from FD004 run-to-failure trajectories",True,False,optional redundant-feature removal,feature scaling reported; exact train-only fit scope is not fully explicit,six-condition FD004 retained without endpoint-mode thresholds,none,with-versus-without redundant feature comparison,feed-forward autoencoder selected by Bayesian optimization,validation used for architecture selection,reconstruction-error decision threshold,none,point classification,global reconstruction error,single simulated subset and proxy labels,"FD004 rather than FD002; no alert-event, delay, coverage, or FAR-per-1000 semantics",not linked,NASA C-MAPSS public data,Healthy-only reconstruction precedent with engine-disjoint evaluation,contextual anomaly-method comparison,C,False,"Engine-disjoint anomaly evaluation is useful context, but FD004 has two faults and labels/metrics/alert semantics differ.","[""LIT-007-V01"",""LIT-007-V02"",""LIT-007-V03""]"
LIT-008,A One-Class Support Vector Machine Calibration Method for Time Series Change Point Detection,"[""Baihong Jin"",""Yuxin Chen"",""Dan Li"",""Kameshwar Poolla"",""Alberto Sangiovanni-Vincentelli""]",2019,IEEE ICASSP / arXiv,10.48550/arXiv.1902.06361,arXiv:1902.06361,https://arxiv.org/abs/1902.06361,https://arxiv.org/pdf/1902.06361,2026-09-03,arxiv_full_text_verified,df0f01f87243a490395efc5e71f57563cda3db4dac1f886324f4c514e5b721de,arxiv_author_version,False,NASA C-MAPSS,FD004,249,"{""train_FD004"":true,""test_FD004"":false,""RUL_FD004"":false}",change-point detection,engine-specific degradation transition,one-class unsupervised with heuristic calibration,hypothesized first 50%-100% normal segment per training engine,transition region benchmarked against WTTE-RNN uncertainty behavior,"RUL available to WTTE-RNN reference, not predicted by OC-SVM",single cycles,engine change point,20 randomly selected engines train; remaining 229 test,True,False,21 sensor readings; RBF representation,NR,FD004 six conditions are pooled; no per-mode normalization,none,NR,RBF OC-SVM with differential-evolution calibration,joint search over gamma and engine-specific normal fraction with nu fixed at 0.05,OC-SVM decision plus minimum cross-entropy change point,implicit persistence: latest permanent threshold breach in reference interpretation,one change point per engine,none,authors call for testing other heuristic optimizers,"Pseudo-ground truth is another model, subset is FD004, and no point/event false-alert metrics are reported",NR,NASA C-MAPSS public data,One-class calibration and learned-onset precedent,context for onset ambiguity and classical controls,C,False,Change-point objective and model-derived reference are not equivalent to this project's proxy endpoint alerts.,[]
LIT-009,A Change Point Detection Integrated Remaining Useful Life Estimation Model under Variable Operating Conditions,"[""Anushiya Arunan"",""Yan Qin"",""Xiaoli Li"",""Chau Yuen""]",2024,"Control Engineering Practice 144, 105840",10.1016/j.conengprac.2023.105840,arXiv:2401.04351,https://doi.org/10.1016/j.conengprac.2023.105840,https://arxiv.org/pdf/2401.04351,2026-09-03,arxiv_full_text_verified,4da3c61605c235ed643363cf79cc7e2e63b61e5665ba702f84e195cb1a62ffbf,accepted_manuscript_arxiv,False,NASA C-MAPSS,FD001-FD004; emphasis FD002/FD004,train/test counts follow canonical subsets,"{""train_FD002"":true,""test_FD002"":true,""RUL_FD002"":true}",change-point detection integrated with RUL estimation,official-test last-cycle RUL,unsupervised change point plus supervised LSTM RUL,normal-operation segment selected from long-lived training engines,earlier of persistent T2 and Q control-limit breaches,piecewise linear after engine-specific change point; official test capped at 130 cycles,"sliding sequence, L selected by dataset",engine terminal RUL for official test; cycle-level change point on complete train trajectories,training engines support change-point model and RUL training; official test engines evaluate RUL,True,False,sensor exclusions; canonical variate analysis temporal features,change-point-informed piecewise standardization,explicitly targets variable operating conditions,no K=6 endpoint clustering,dataset-specific sensors dropped,CVA monitoring statistics plus LSTM RUL regressor,99% confidence control limits and hyperparameter search on training/development data,T2/Q control limits,persistent permanent breach,earlier permanent breach selected as event,monitoring-statistic trajectories,linear post-change RUL assumption and fixed 130-cycle cap for test labels,"RUL endpoint results do not evaluate alert FAR, coverage, or delay; onset is model-derived",NR,NASA C-MAPSS public data,Operating-condition and learned-change-point context,official-test protocol and onset discussion,C,False,"Uses FD002 official test, but evaluates last-cycle RUL regression rather than anomaly alerts over all observed cycles.",[]
LIT-012,Anomaly Detection in Complex Dynamical Systems: A Systematic Framework Using Embedding Theory and Physics-Inspired Consistency,"[""Michael Somma"",""Thomas Gallien"",""Branka Stojanovic""]",2025,arXiv preprint,10.48550/arXiv.2502.19307,arXiv:2502.19307v3,https://arxiv.org/abs/2502.19307,https://arxiv.org/pdf/2502.19307v3,2026-09-03,arxiv_full_text_verified,0476b7d4fb1ceb5ce5c1d2cc04c20f2beb31dd928e6be8ebf5f13cb8bb647dad,arxiv_v3,True,NASA C-MAPSS,FD001 and FD003,200,"{""train_FD001_FD003"":true,""official_test"":false,""RUL_files"":false}",anomaly detection,normal versus anomalous cycle,unsupervised autoencoder representation with proxy labels for evaluation,first 60% of each run-to-failure trajectory,final 40% of trajectory,not used,embedded state-derivative sample,cycle,80/20 engine-disjoint outer split; 90/10 training-engine development split,True,False,state-derivative embedding,reported normalization,single-condition subsets only,none,subset-specific sensor selection,Temporal Differential Consistency Autoencoder,threshold uses anomalous portion of training trajectories,reconstruction score threshold optimized with proxy labels,none,point classification,latent temporal-consistency/reconstruction behavior,limited to FD001/FD003 and heuristic 60/40 labels,Threshold uses proxy-anomalous training data and subsets/labels differ,GitHub link reported in manuscript,NASA C-MAPSS public data,Physics-inspired temporal reconstruction comparison,contextual efficient-autoencoder result,C,False,"Engine split is useful, but subset, 60/40 onset, threshold supervision, and point metrics differ.","[""LIT-012-V01"",""LIT-012-V02"",""LIT-012-V03"",""LIT-012-V04"",""LIT-012-V05"",""LIT-012-V06"",""LIT-012-V07"",""LIT-012-V08"",""LIT-012-V09"",""LIT-012-V10""]"
LIT-014,RAVEN: Unsupervised Anomaly Detection in Multivariate Jet Engine Time Series using Residual Learning on Real Test Data,"[""Nouf Almesafri"",""Mohamed Ragab"",""Salama AlMheiri"",""Zahi Mohamed"",""Abdulla Alseiari""]",2025,PHM Society Asia-Pacific Conference 5(1),10.36001/phmap.2025.v5i1.4647,PHMAP:4647,https://papers.phmsociety.org/index.php/phmap/article/view/4647,https://papers.phmsociety.org/index.php/phmap/article/download/4647/phmap_25_4647,2026-09-03,publisher_full_text_verified,a48be532271c17727ef1157bd84451c2cc086150c7201a9ea178317993ea2330,version_of_record,True,real jet-engine test-cell time series,not C-MAPSS,NR,"{""nasa_cmapss_files"":false}",unsupervised anomaly detection,anomalous event under real test conditions,unsupervised healthy-only,nominal real-engine periods,test-defined anomalous periods; exact physical onset provenance is experiment-specific,not used,multivariate sequences,cycle/time point and event,real test programs split into nominal training and evaluation sequences,NR,False,regression residualization against operating variables,residual normalization,operating-regime effects removed by regression,none,sensor channels retained after quality controls,residual model plus deep LSTM autoencoder,nominal reconstruction-error distribution,reported reconstruction-error threshold,NR,event-level interpretation described,reconstruction residual patterns,single real-engine test campaign and limited fault diversity,Different hardware/data/labels; exact split and event metrics do not match FD002 proxies,NR,proprietary/controlled real test data,Supports residualization before LSTM reconstruction,methodological evidence for operating-effect removal,D,False,"Real-engine relevance is high but dataset, faults, units, labels, and metrics are not protocol-equivalent.",[]
LIT-017,Gas Turbine Anomaly Detection under Time-Varying Operation Conditions Based on Spectra Alignment and Self-Adaptive Normalization,"[""Dongyan Miao"",""Kun Feng"",""Yuan Xiao"",""Zhouzheng Li"",""Jinji Gao""]",2024,"Sensors 24(3), 941",10.3390/s24030941,PMCID:PMC10856833,https://doi.org/10.3390/s24030941,https://mdpi-res.com/d_attachment/sensors/sensors-24-00941/article_deploy/sensors-24-00941.pdf,2026-09-03,publisher_full_text_verified,74dce23628e85d7405ed60ed77ef8621877e49a6dd20b576995d02adcccba2f9,version_of_record,True,real gas-turbine vibration spectra,not C-MAPSS,one real turbine test campaign,"{""nasa_cmapss_files"":false}",anomaly detection,foreign-object-damage anomaly index,unsupervised reconstruction,normal spectra across speeds,experiment fault interval,not used,spectrum sample,spectrum/time point,normal training/validation and FOD evaluation sequences,NR,False,rotational-speed spectral alignment and adaptive amplitude normalization,self-adaptive global normalization,speed-aligned spectra and category-adjusted anomaly index,k-means on rotational speed when manual modes unavailable,frequency-spectrum representation,degressive-beta variational autoencoder,per-category validation MSE mean/std,multi-category anomaly index,none,point-level anomaly sequence,spectrum/reconstruction behavior,rotational speed is not a complete operating-condition descriptor; broader faults needed,"Different sensing modality, physical system, labels, and metrics",NR,real experimental data availability NR,Supports condition-aware normalization before reconstruction,methodological operating-condition citation,D,False,Methodological analogue only; no C-MAPSS or matching alert protocol.,[]
LIT-018,Multiform Informed Machine Learning Based on Piecewise and Weibull for Engine Remaining Useful Life Prediction,"[""Shuang Zhou"",""Yunan Yao"",""Aihua Liu"",""Fan Wang"",""Lu Chen"",""Ruolan Xiong""]",2023,"Sensors 23(12), 5669",10.3390/s23125669,PMCID:PMC10302399,https://doi.org/10.3390/s23125669,https://mdpi-res.com/d_attachment/sensors/sensors-23-05669/article_deploy/sensors-23-05669-v2.pdf?version=1687139904,2026-09-03,publisher_full_text_verified,dee9760c4e0b28f5a53ddfcf7271ac76a1a872b4436887f00773c736df224fc5,version_of_record_updated,True,NASA C-MAPSS,FD001-FD004; FD002/FD004 emphasized,canonical train/test engine counts,"{""train_FD002"":true,""test_FD002"":true,""RUL_FD002"":true}",remaining useful life prediction,official-test terminal RUL,supervised RUL with informed loss,not applicable,piecewise RUL knee is imposed/selected rather than observed fault onset,piecewise capped RUL plus Weibull-informed loss,reported sequence construction,engine terminal RUL,canonical train/test split; experiments repeated 15 times,True,False,sensor filtering and sequence construction,k-means operating-condition grouping followed by per-condition normalization,explicit multi-condition normalization,k-means,constant/low-information sensor removal,neural RUL regressor with Piecewise and Weibull knowledge,model/hyperparameter selection reported,not an anomaly threshold,none,last-cycle RUL evaluation,"model/loss interpretability, not anomaly attribution",domain assumptions may not transfer; knowledge parameters require care,RUL task and terminal evaluation cannot be compared to anomaly FAR/coverage/delay,NR,NASA C-MAPSS public data,FD002 regime-scaling and official-test RUL context,official-test methodological assessment,C,False,"FD002 aligns, but supervised last-cycle RUL RMSE/score is a different target and evaluation unit.",[]
LIT-021,A Self-Organizing Map and a Normalizing Multi-Layer Perceptron Approach to Baselining in Prognostics under Dynamic Regimes,"[""Marcia Lourenco Baptista"",""Elsa M. P. Henriques"",""Kai Goebel""]",2021,"Neurocomputing 456, 268-287",10.1016/j.neucom.2021.05.031,TU Delft uuid:734ff2a9-fd15-4a8c-bacf-764453717bf9,https://doi.org/10.1016/j.neucom.2021.05.031,https://repository.tudelft.nl/file/File_8b0f3f08-774f-4c5b-b491-0535f3de5aff,2026-09-03,institutional_repository_verified,22443b875a18c5cfe765a18c5287d7718c68565503ce58fb1ba27e99ce9bd1e2,final_published_version_repository_copy,True,C-MAPSS turbofan simulator and dynamic-regime case studies,C-MAPSS/PHM prognostics; exact FD00x mapping varies by experiment,NR,"{""exact_nasa_files"":""NR""}",baselining for prognostics,condition-normalized sensor trajectories,unsupervised regime discovery plus supervised normalization,healthy baseline used to learn regimes/normalizer,not defined,not central,single cycles,cycle and downstream prognostic indicator,training/hold-out structure reported by case study,NR,False,self-organizing map then normalizing multilayer perceptron,learned normalizing MLP,explicit dynamic-regime baselining,self-organizing map without pre-specifying number of regimes,sensor-specific baselining,SOM plus MLP,hold-out baselining comparison,not applicable,none,not applicable,normalized sensor traces,dataset-specific baselining quality and integration remain to be validated downstream,Exact subset/files and anomaly metrics are absent,NR,public turbofan data; other case data availability varies,Supports learned regime-aware baselining,methodological preprocessing citation,C,False,"Relevant preprocessing, but not an FD002 anomaly detector evaluation.",[]
