paper_id,title,authors,publication_year,venue,doi_or_stable_identifier,authoritative_url,full_text_url,dataset,exact_subset,research_task,learning_setting,operating_condition_treatment,model,split_strategy,evaluation_unit,label_or_onset_definition,metrics,exact_reported_metric_values,metric_direction,evidence_location,result_scope,code_or_data_available,limitations,relevance_to_methodology,comparison_category,evidence_access_level,verification_status,direct_comparison_permitted,source_v3_id,source_v3_path,source_v3_sha256,access_date,notes
LIT-001,Damage Propagation Modeling for Aircraft Engine Run-to-Failure Simulation,Abhinav Saxena; Kai Goebel; Don Simon; Neil Eklund,2008,IEEE PHM conference,IEEE:4711414,https://ieeexplore.ieee.org/document/4711414,https://ieeexplore.ieee.org/document/4711414,C-MAPSS simulator,C-MAPSS simulator (not a benchmark subset result),dataset/provenance,not_applicable_or_NR,NR,Defines the run-to-failure simulation basis behind the benchmark,NR,NR,NR,NR,NR,NR,NR,NR,NR,Does not provide cycle-level anomaly-onset labels,Dataset provenance and simulation assumptions,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,1,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-002,C-MAPSS Jet Engine Simulated Data,NR,2026,NASA official dataset page,https://data.nasa.gov/dataset/cmapss-jet-engine-simulated-data,https://data.nasa.gov/dataset/cmapss-jet-engine-simulated-data,NR,FD001-FD004,FD001; FD002; FD003; FD004,dataset/provenance,not_applicable_or_NR,NR,"FD002 has 260 train engines, 259 test engines, six operating conditions and one fault mode",NR,NR,NR,NR,NR,NR,NR,NR,NR,Official test trajectories are truncated and cycle-level anomaly labels are absent,Authoritative dataset facts,C,metadata_only,screening_only_no_numeric_use,False,2,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-003,Performance Benchmarking and Analysis of Prognostic Methods for CMAPSS Datasets,NR,2014,International Journal of Prognostics and Health Management,https://papers.phmsociety.org/index.php/ijphm/article/view/2236,https://papers.phmsociety.org/index.php/ijphm/article/view/2236,https://papers.phmsociety.org/index.php/ijphm/article/view/2236,C-MAPSS,C-MAPSS,benchmark/review,not_applicable_or_NR,NR,Shows that preprocessing and evaluation choices impair comparability,NR,NR,NR,NR,NR,NR,NR,NR,NR,Primarily prognostics rather than anomaly detection,Protocol design and claim restraint,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,3,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-004,Review and Analysis of Algorithmic Approaches Developed for Prognostics on CMAPSS Data,NR,2014,PHM Society / NASA report,NTRS:20150007677,https://ntrs.nasa.gov/api/citations/20150007677/downloads/20150007677.pdf,https://ntrs.nasa.gov/api/citations/20150007677/downloads/20150007677.pdf,C-MAPSS,C-MAPSS,benchmark/review,not_applicable_or_NR,NR,Discusses operating-condition normalization and clustering/segmentation,NR,NR,NR,NR,NR,NR,NR,NR,NR,Review rather than new anomaly detector,Historical evidence that condition clustering is not novel,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,4,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-005,LSTM-based Encoder-Decoder for Multi-sensor Anomaly Detection,NR,2016,ICML workshop / arXiv,arXiv:1607.00148,https://arxiv.org/abs/1607.00148,https://arxiv.org/abs/1607.00148,Multivariate industrial sequences,Multivariate industrial sequences,multivariate sequence anomaly detection,unsupervised or method-dependent; exact training supervision NR,NR,Healthy-sequence reconstruction error is used as anomaly score,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not a C-MAPSS benchmark study,Justifies LSTM-AE baseline,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,5,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-006,Multi-Sensor Prognostics using an Unsupervised Health Index based on LSTM Encoder-Decoder,NR,2016,arXiv / PHM,arXiv:1608.06154,https://arxiv.org/abs/1608.06154,https://arxiv.org/abs/1608.06154,C-MAPSS,C-MAPSS,health-index construction/prognostics,not_applicable_or_NR,NR,Maps reconstruction error to a health index and RUL,NR,NR,NR,NR,NR,NR,NR,NR,NR,Health index/RUL task rather than alert evaluation,Links reconstruction error to engine degradation,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,6,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-007,Autoencoder-based Semi-Supervised Anomaly Detection in Turbofan Engines,Ali Al Bataineh; Aakif Mairaj; Devinder Kaur,2020,IJACSA,https://thesai.org/Publications/ViewPaper?Code=IJACSA&Issue=11&SerialNo=5&Volume=11,https://thesai.org/Publications/ViewPaper?Code=IJACSA&Issue=11&SerialNo=5&Volume=11,https://thesai.org/Downloads/Volume11No11/Paper_5-Autoencoder_based_Semi_Supervised_Anomaly_Detection.pdf,C-MAPSS,"FD004 (identified by 249 engines, six conditions, two fault modes)",anomaly/degradation detection,semi-supervised healthy-only autoencoder,six operating settings present; no registered P1/K=6 endpoint-mode policy,feed-forward autoencoder; Bayesian hyperparameter tuning,220 train engines; 20 validation engines; 19 test engines,cycle/sample,first 60% normal; last 5% anomalous; remaining label treatment incompletely stated,F1; precision; recall,F1=0.892; precision=0.896; recall=0.724 (without feature removal),higher_is_better,"IJACSA 11(11), pp. 44-47: Sec. III-IV; Table VI on p. 47",test; 19 engines; first 60% normal and last 5% anomalous; middle interval not fully specified,NR,Protocol differs from sequence-level FD002 study,Direct C-MAPSS autoencoder precedent,C,full_text_verified,verified_for_numeric_extraction,False,7,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-008,A One-Class Support Vector Machine Calibration Method for Time Series Change Point Detection,NR,2019,arXiv / IEEE,arXiv:1902.06361,https://arxiv.org/abs/1902.06361,https://arxiv.org/abs/1902.06361,C-MAPSS,C-MAPSS,change-point/onset estimation,one-class,NR,Uses calibrated one-class SVM for health-status change-point detection,NR,NR,NR,NR,NR,NR,NR,NR,NR,Estimated change point is not physical ground truth,Alternative to fixed life-fraction onset,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,8,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-009,A Change Point Detection Integrated Remaining Useful Life Estimation Model under Variable Operating Conditions,NR,2024,Mechanical Systems and Signal Processing / arXiv,arXiv:2401.04351,https://arxiv.org/abs/2401.04351,https://arxiv.org/abs/2401.04351,Six-condition C-MAPSS,Six-condition C-MAPSS,change-point/onset estimation,not_applicable_or_NR,NR,Learns device-specific change points under variable conditions,NR,NR,NR,NR,NR,NR,NR,NR,NR,Optimizes downstream RUL; onset remains model-estimated,Onset sensitivity and per-engine transition evidence,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,9,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-010,Anomaly Detection and Remaining Useful Life Prediction for Turbofan Engines with a Key Point-Based Approach to Secure Health Management,NR,2024,Sensors,https://www.mdpi.com/1424-8220/24/24/8022,https://www.mdpi.com/1424-8220/24/24/8022,https://www.mdpi.com/1424-8220/24/24/8022,C-MAPSS,FD002,anomaly/degradation detection,key-point analysis with anomaly detection and RUL components,FD002; treatment differs from frozen per-mode P1/K=6 pipeline,key-point-based health-management method,NR,engine lifecycle/key point,"model-derived key points, not registered final-life endpoint proxies",NR,NR,NR,NR,NR,NR,Joint-task protocol is not directly comparable to unsupervised detector,Supports key-point/onset modeling,B,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,10,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
