run_id,datetime,owner,experiment_name,model,params,train_size,valid_size,metric_name,metric_value,notes,artifact_path
run_000                               , 2025-07-09         , shivam, smoke_lstm                    , ae_smoke          , "{'hidden':64,'latent':16,'batch':16}"                                                                                                            ,        200,         50, avg_recon_loss           ,     0.012   , smoke run                                                                                 , models/lstm_ae_smoke.pt
run_20260627_184001_isolation_forest  , 2026-06-27T18:40:01, shivam, baseline_isolation_forest     , isolation_forest  , "{'feature': 'summary(mean,std,slope)', 'window': 30, 'contamination': 0.49, 'train_fit': 'healthy_only'}"                                        ,       6052,      32756, roc_auc                  ,     0.720071, p_at_k=0.849461; far=0.664243; delay=1.1428571428571428; coverage=1.000000                , reports\baselines\baseline_metrics.csv
run_20260627_184001_lof               , 2026-06-27T18:40:01, shivam, baseline_lof                  , lof               , "{'feature': 'summary(mean,std,slope)', 'window': 30, 'contamination': 0.49, 'train_fit': 'healthy_only'}"                                        ,       6052,      32756, roc_auc                  ,     0.704075, p_at_k=0.851595; far=0.654825; delay=0.5274725274725275; coverage=1.000000                , reports\baselines\baseline_metrics.csv
run_20260629_205101_isolation_forest  , 2026-06-29T20:51:01, shivam, baseline_isolation_forest     , isolation_forest  , "{'feature': 'summary(mean,std,slope)', 'window': 30, 'contamination': 0.49, 'train_fit': 'healthy_only'}"                                        ,       6052,      32756, roc_auc                  ,     0.720071, p_at_k=0.849461; far=0.664243; delay=1.1428571428571428; coverage=1.000000                , reports\baselines\baseline_metrics.csv
run_20260629_205101_lof               , 2026-06-29T20:51:01, shivam, baseline_lof                  , lof               , "{'feature': 'summary(mean,std,slope)', 'window': 30, 'contamination': 0.49, 'train_fit': 'healthy_only'}"                                        ,       6052,      32756, roc_auc                  ,     0.704075, p_at_k=0.851595; far=0.654825; delay=0.5274725274725275; coverage=1.000000                , reports\baselines\baseline_metrics.csv
run_20260629_222541_lstm_ae_smoke     , 2026-06-29T22:25:41, shivam, lstm_autoencoder              , lstm_ae           , "{'window': 30, 'hidden': 64, 'latent': 16, 'layers': 2, 'batch': 64, 'epochs': 15, 'smoke': True}"                                               ,        230,         26, valid_loss               ,     0.671507, smoke=True; final_train_loss=0.598147                                                     , models\lstm_ae_smoke_20260629_222541.pt
run_20260629_222613_lstm_ae_smoke     , 2026-06-29T22:26:13, shivam, lstm_autoencoder              , lstm_ae           , "{'window': 30, 'hidden': 64, 'latent': 16, 'layers': 2, 'batch': 64, 'epochs': 15, 'smoke': True}"                                               ,        230,         26, valid_loss               ,     0.671507, smoke=True; final_train_loss=0.598147                                                     , models\lstm_ae_smoke_20260629_222613.pt
run_20260629_222756_lstm_ae_scores    , 2026-06-29T22:27:56, shivam, lstm_autoencoder_scores       , lstm_ae           , "{'checkpoint': 'models\\lstm_ae_smoke_20260629_222613.pt', 'input_dim': 21, 'hidden_dim': 64, 'latent_dim': 16, 'num_layers': 2, 'dropout': 0.2}",      32756,      32756, mean_reconstruction_error,     0.793101, checkpoint=models\lstm_ae_smoke_20260629_222613.pt; max_error=5.529724                    , reports\lstm_ae\reconstruction_scores.csv
run_20260629_222821_lstm_ae_scores    , 2026-06-29T22:28:21, shivam, lstm_autoencoder_scores       , lstm_ae           , "{'checkpoint': 'models\\lstm_ae_smoke_20260629_222613.pt', 'input_dim': 21, 'hidden_dim': 64, 'latent_dim': 16, 'num_layers': 2, 'dropout': 0.2}",      32756,      32756, mean_reconstruction_error,     0.793101, checkpoint=models\lstm_ae_smoke_20260629_222613.pt; max_error=5.529724                    , reports\lstm_ae\reconstruction_scores.csv
run_20260629_222919_adaptive_threshold, 2026-06-29T22:29:19, shivam, adaptive_threshold_calibration, adaptive_threshold, "{'alpha': 0.15, 'k': 2.5, 'm': 3, 'decay': 0.98, 'update_interval': 50}"                                                                         ,       6052,      32756, threshold_modes          ,     4       , checkpoint=models\adaptive_threshold.pkl; source=reports\lstm_ae\reconstruction_scores.csv, reports\lstm_ae\threshold_summary.csv
run_20260822_split_fd002_primary_v1,2026-08-22T04:15:34+05:30,shivam,engine_split_manifest,split_manifest,"{'ratios':'60/20/20','seed':42,'stratify':'max_cycle_quintile','window':30}",260,260,engine_overlap,0,"evidence=current_protocol; train_engines=156; validation_engines=52; test_engines=52; rows=53759; windows=46219; manifest_sha256=953f6bee71022a644fc0e3e155f4c212bb2cc9a10794c2665c9d7d9cb6594327; no test modeling",configs/splits/fd002-primary-v1.json
run_20260822_preprocessing_p0_global,2026-08-22T04:15:34+05:30,shivam,preprocessing_control,p0_global,"{'sensor_fit':'first_30pct_training_life','operating_modes':null}",9561,10873,sensor_scaler_fit_rows,9561,"evidence=current_protocol; global control; fit on training rows only; validation transformed for comparison; test not opened by study",configs/preprocessing/fd002-preprocessing-study-v1.json
run_20260822_preprocessing_p1_k4,2026-08-22T04:15:34+05:30,shivam,preprocessing_model_selection,p1_kmeans,"{'k':4,'seed':42,'stability_seeds':5,'subsample_engine_fraction':0.8}",32107,10873,validation_silhouette,0.85179450,"evidence=validation_only; train_silhouette=0.85210730; stability_ari_mean=1.0; min_validation_occupancy=0.14816518; rejected because distinct settings were merged; test not opened by study",reports/preprocessing/model_selection.csv
run_20260822_preprocessing_p1_k6,2026-08-22T04:15:34+05:30,shivam,preprocessing_model_selection,p1_kmeans,"{'k':6,'seed':42,'stability_seeds':5,'subsample_engine_fraction':0.8}",32107,10873,validation_silhouette,0.99703695,"evidence=validation_only; train_silhouette=0.99707490; stability_ari_mean=1.0; min_validation_occupancy=0.14696956; selected by human decision gate; no fallback; test not opened by study",configs/preprocessing/fd002-preprocessing-selection-v1.json
run_20260822_preprocessing_p1_k8,2026-08-22T04:15:34+05:30,shivam,preprocessing_model_selection,p1_kmeans,"{'k':8,'seed':42,'stability_seeds':5,'subsample_engine_fraction':0.8}",32107,10873,validation_silhouette,0.89306060,"evidence=validation_only; train_silhouette=0.89828340; stability_ari_mean=0.93224270; stability_ari_min=0.89921460; min_validation_occupancy=0.04902051; rejected as less stable over-split; test not opened by study",reports/preprocessing/model_selection.csv
run_20260822_baseline_p0_iforest,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,isolation_forest,"{'pipeline':'p0_global','max_samples':5000,'feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.2545954469,"evidence=validation_proxy_only; mean_roc_auc=0.5610994022; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
run_20260822_baseline_p0_lof,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,lof,"{'pipeline':'p0_global','n_neighbors':20,'feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.4953102157,"evidence=validation_proxy_only; mean_roc_auc=0.7726482515; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
run_20260822_baseline_p0_ocsvm,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,one_class_svm,"{'pipeline':'p0_global','nu':0.01,'gamma':'scale','feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.3488766382,"evidence=validation_proxy_only; mean_roc_auc=0.6864451098; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
run_20260822_baseline_p0_pca,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,pca_reconstruction,"{'pipeline':'p0_global','variance':0.99,'feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.7217192761,"evidence=validation_proxy_only; mean_roc_auc=0.9294763290; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
run_20260822_baseline_p1_iforest,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,isolation_forest,"{'pipeline':'p1_k6','max_samples':256,'feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.7891693415,"evidence=validation_proxy_only; mean_roc_auc=0.9559210354; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
run_20260822_baseline_p1_lof,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,lof,"{'pipeline':'p1_k6','n_neighbors':20,'feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.8496951349,"evidence=validation_proxy_only; mean_roc_auc=0.9643631320; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
run_20260822_baseline_p1_ocsvm,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,one_class_svm,"{'pipeline':'p1_k6','nu':0.10,'gamma':'scale','feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.8328076731,"evidence=validation_proxy_only; mean_roc_auc=0.9643711100; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
run_20260822_baseline_p1_pca,2026-08-22T04:15:34+05:30,shivam,classical_baseline_selection,pca_reconstruction,"{'pipeline':'p1_k6','variance':0.90,'feature':'mean_std_end_change','window':30}",5037,9365,mean_validation_pr_auc_endpoint_policies,0.7724072947,"evidence=validation_proxy_only; mean_roc_auc=0.9250344982; selected within family; score calibrator fit on training scores; no threshold or test access",reports/baselines_v2/selected_models.csv
