candidate_id,detector_id,threshold_context,threshold_rule_id,threshold_kind,threshold_value,ewma_id,ewma_alpha,persistence,policy_id,selection_policy,evaluated_endpoints,healthy_evaluated_endpoints,anomalous_evaluated_endpoints,ambiguous_excluded_endpoints,tp,fp,tn,fn,precision,recall,f1,specificity,false_positive_alerted_endpoints_per_1000_healthy_endpoints,false_alert_event_count,false_alert_events_per_1000_healthy_endpoints,validation_engine_count,engines_with_healthy_false_alert,percent_engines_with_healthy_false_alert,total_event_count,median_event_duration_endpoints,event_fragmentation_per_engine,events_crossing_proxy_onset,detected_engine_count,missed_engine_count,engine_detection_coverage,missed_engine_rate,median_first_alert_delay,first_alert_delay_q1,first_alert_delay_q3,median_lead_cycles,lead_cycles_q1,lead_cycles_q3
lof__global__quantile_0.900__ewma_off__persistence_1,lof,global,quantile_0.900,quantile,0.9,off,,1,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,5794,2459,0,0.16101940341731827,1.0,0.2773759042155151,0.2979522597843208,702.0477402156791,897,108.68774990912395,52,52,100.0,897,2.0,17.25,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_off__persistence_1,lof,global,quantile_0.900,quantile,0.9,off,,1,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2192,4714,2456,3,0.3174051549377353,0.9986332574031891,0.4817053071091089,0.34253835425383544,657.4616457461645,894,124.68619246861925,52,52,100.0,897,2.0,17.25,52,2,50,3.8461538461538463,96.15384615384616,10.5,9.25,11.75,30.5,29.75,31.25
lof__global__quantile_0.900__ewma_off__persistence_1,lof,global,quantile_0.900,quantile,0.9,off,,1,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3251,3655,2420,39,0.4707500724008109,0.988145896656535,0.6377010592389172,0.3983539094650206,601.6460905349794,869,143.04526748971193,52,52,100.0,897,2.0,17.25,44,16,36,30.76923076923077,69.23076923076923,3.0,0.0,7.0,51.0,43.5,59.5
lof__global__quantile_0.900__ewma_off__persistence_1,lof,global,quantile_0.900,quantile,0.9,off,,1,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,4714,2456,0,0.12768319763138417,1.0,0.22645224811289794,0.34253835425383544,657.4616457461645,894,124.68619246861925,52,52,100.0,897,2.0,17.25,52,2,50,3.8461538461538463,96.15384615384616,10.5,9.25,11.75,30.5,29.75,31.25
lof__global__quantile_0.900__ewma_off__persistence_1,lof,global,quantile_0.900,quantile,0.9,off,,1,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1780,3655,2420,2,0.32750689972401104,0.9988776655443322,0.4932797561313565,0.3983539094650206,601.6460905349794,869,143.04526748971193,52,52,100.0,897,2.0,17.25,44,16,36,30.76923076923077,69.23076923076923,3.0,0.0,7.0,51.0,43.5,59.5
lof__global__quantile_0.900__ewma_off__persistence_3,lof,global,quantile_0.900,quantile,0.9,off,,3,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,4427,3826,0,0.20075825961364868,1.0,0.3343858066456172,0.46358899794014297,536.411002059857,321,38.89494729189386,52,52,100.0,321,4.0,6.173076923076923,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_off__persistence_3,lof,global,quantile_0.900,quantile,0.9,off,,3,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2185,3354,3816,10,0.39447553710055966,0.9954441913439636,0.56503749676752,0.5322175732217573,467.78242677824267,317,44.21199442119944,52,52,100.0,321,4.0,6.173076923076923,50,4,48,7.6923076923076925,92.3076923076923,7.0,0.75,13.5,32.0,27.0,40.5
lof__global__quantile_0.900__ewma_off__persistence_3,lof,global,quantile_0.900,quantile,0.9,off,,3,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3196,2343,3732,94,0.5769994583859902,0.9714285714285714,0.7239778004303998,0.614320987654321,385.679012345679,296,48.724279835390945,52,52,100.0,321,4.0,6.173076923076923,38,19,33,36.53846153846154,63.46153846153846,2.0,1.0,8.5,50.0,42.0,54.5
lof__global__quantile_0.900__ewma_off__persistence_3,lof,global,quantile_0.900,quantile,0.9,off,,3,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,3354,3816,0,0.17062314540059348,1.0,0.2915082382762991,0.5322175732217573,467.78242677824267,317,44.21199442119944,52,52,100.0,321,4.0,6.173076923076923,50,4,48,7.6923076923076925,92.3076923076923,7.0,0.75,13.5,32.0,27.0,40.5
lof__global__quantile_0.900__ewma_off__persistence_3,lof,global,quantile_0.900,quantile,0.9,off,,3,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1774,2343,3732,8,0.43089628370172456,0.9955106621773289,0.6014578742159689,0.614320987654321,385.679012345679,296,48.724279835390945,52,52,100.0,321,4.0,6.173076923076923,38,19,33,36.53846153846154,63.46153846153846,2.0,1.0,8.5,50.0,42.0,54.5
lof__global__quantile_0.900__ewma_off__persistence_5,lof,global,quantile_0.900,quantile,0.9,off,,5,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,3875,4378,0,0.22297974734309203,1.0,0.3646499426135432,0.5304737671149885,469.5262328850115,194,23.506603659275417,52,52,100.0,194,8.0,3.730769230769231,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_off__persistence_5,lof,global,quantile_0.900,quantile,0.9,off,,5,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2177,2810,4360,18,0.43653499097653903,0.9917995444191344,0.6062378167641326,0.6080892608089261,391.9107391910739,189,26.359832635983263,52,52,100.0,194,8.0,3.730769230769231,49,4,48,7.6923076923076925,92.3076923076923,2.5,1.5,6.5,37.5,32.5,42.25
lof__global__quantile_0.900__ewma_off__persistence_5,lof,global,quantile_0.900,quantile,0.9,off,,5,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3145,1842,4233,145,0.6306396631241227,0.9559270516717325,0.7599371753050622,0.6967901234567901,303.2098765432099,166,27.325102880658438,52,52,100.0,194,8.0,3.730769230769231,34,22,30,42.30769230769231,57.69230769230769,4.0,3.0,8.5,48.0,43.25,58.5
lof__global__quantile_0.900__ewma_off__persistence_5,lof,global,quantile_0.900,quantile,0.9,off,,5,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,2810,4360,0,0.19714285714285715,1.0,0.32935560859188545,0.6080892608089261,391.9107391910739,189,26.359832635983263,52,52,100.0,194,8.0,3.730769230769231,49,4,48,7.6923076923076925,92.3076923076923,2.5,1.5,6.5,37.5,32.5,42.25
lof__global__quantile_0.900__ewma_off__persistence_5,lof,global,quantile_0.900,quantile,0.9,off,,5,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1770,1842,4233,12,0.4900332225913621,0.9932659932659933,0.6562847608453838,0.6967901234567901,303.2098765432099,166,27.325102880658438,52,52,100.0,194,8.0,3.730769230769231,34,22,30,42.30769230769231,57.69230769230769,4.0,3.0,8.5,48.0,43.25,58.5
lof__global__quantile_0.900__ewma_off__persistence_8,lof,global,quantile_0.900,quantile,0.9,off,,8,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,3369,4884,0,0.24815889310421782,1.0,0.3976399070266404,0.5917848055252636,408.21519447473645,131,15.873015873015873,52,52,100.0,131,15.0,2.519230769230769,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_off__persistence_8,lof,global,quantile_0.900,quantile,0.9,off,,8,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2160,2321,4849,35,0.4820352599866101,0.9840546697038725,0.6470940683043739,0.6762900976290097,323.7099023709902,123,17.15481171548117,52,50,96.15384615384616,131,15.0,2.519230769230769,46,7,45,13.461538461538462,86.53846153846153,3.0,1.0,5.5,32.0,28.0,38.5
lof__global__quantile_0.900__ewma_off__persistence_8,lof,global,quantile_0.900,quantile,0.9,off,,8,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3066,1415,4660,224,0.6842222718143272,0.9319148936170213,0.7890876335092009,0.7670781893004115,232.9218106995885,103,16.954732510288064,52,50,96.15384615384616,131,15.0,2.519230769230769,31,25,27,48.07692307692308,51.92307692307692,7.0,6.0,12.0,46.0,40.0,66.0
lof__global__quantile_0.900__ewma_off__persistence_8,lof,global,quantile_0.900,quantile,0.9,off,,8,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,2321,4849,0,0.22915974759216207,1.0,0.3728721967035936,0.6762900976290097,323.7099023709902,123,17.15481171548117,52,50,96.15384615384616,131,15.0,2.519230769230769,46,7,45,13.461538461538462,86.53846153846153,3.0,1.0,5.5,32.0,28.0,38.5
lof__global__quantile_0.900__ewma_off__persistence_8,lof,global,quantile_0.900,quantile,0.9,off,,8,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1761,1415,4660,21,0.554471032745592,0.9882154882154882,0.7103670835014119,0.7670781893004115,232.9218106995885,103,16.954732510288064,52,50,96.15384615384616,131,15.0,2.519230769230769,31,25,27,48.07692307692308,51.92307692307692,7.0,6.0,12.0,46.0,40.0,66.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,4906,3347,0,0.18477899634430042,1.0,0.31192145862552595,0.40554949715255056,594.4505028474495,214,25.929964861262572,52,52,100.0,214,8.0,4.115384615384615,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2193,3825,3345,2,0.3644067796610169,0.9990888382687927,0.5340314136125655,0.4665271966527197,533.4728033472803,213,29.707112970711297,52,52,100.0,214,8.0,4.115384615384615,51,1,51,1.9230769230769231,98.07692307692308,2.0,2.0,2.0,38.0,38.0,38.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3218,2800,3275,72,0.5347291458956464,0.9781155015197568,0.6914482165878814,0.5390946502057613,460.9053497942387,201,33.08641975308642,52,52,100.0,214,8.0,4.115384615384615,41,12,40,23.076923076923077,76.92307692307692,4.0,1.75,6.5,47.0,38.75,52.25
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,3825,3345,0,0.15282392026578073,1.0,0.26512968299711814,0.4665271966527197,533.4728033472803,213,29.707112970711297,52,52,100.0,214,8.0,4.115384615384615,51,1,51,1.9230769230769231,98.07692307692308,2.0,2.0,2.0,38.0,38.0,38.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1782,2800,3275,0,0.3889131383675251,1.0,0.5600251414204902,0.5390946502057613,460.9053497942387,201,33.08641975308642,52,52,100.0,214,8.0,4.115384615384615,41,12,40,23.076923076923077,76.92307692307692,4.0,1.75,6.5,47.0,38.75,52.25
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,4511,3742,0,0.1977592032722746,1.0,0.3302152932442465,0.45341088089179693,546.589119108203,159,19.265721555797892,52,52,100.0,159,14.0,3.0576923076923075,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2191,3432,3738,4,0.38964965321003026,0.9981776765375854,0.5605014070094654,0.5213389121338912,478.6610878661088,158,22.03626220362622,52,52,100.0,159,14.0,3.0576923076923075,51,1,51,1.9230769230769231,98.07692307692308,4.0,4.0,4.0,36.0,36.0,36.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3191,2432,3643,99,0.5674906633469678,0.9699088145896656,0.7160327611354201,0.5996707818930042,400.3292181069959,142,23.374485596707817,52,51,98.07692307692308,159,14.0,3.0576923076923075,37,15,37,28.846153846153847,71.15384615384616,4.0,2.0,7.0,47.0,40.5,53.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,3432,3738,0,0.16739446870451238,1.0,0.286783042394015,0.5213389121338912,478.6610878661088,158,22.03626220362622,52,52,100.0,159,14.0,3.0576923076923075,51,1,51,1.9230769230769231,98.07692307692308,4.0,4.0,4.0,36.0,36.0,36.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1782,2432,3643,0,0.42287612719506407,1.0,0.5943962641761175,0.5996707818930042,400.3292181069959,142,23.374485596707817,52,51,98.07692307692308,159,14.0,3.0576923076923075,37,15,37,28.846153846153847,71.15384615384616,4.0,2.0,7.0,47.0,40.5,53.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,4209,4044,0,0.20898327382071039,1.0,0.34571739468366236,0.490003635041803,509.99636495819703,136,16.47885617351266,52,52,100.0,136,22.0,2.6153846153846154,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2188,3133,4037,7,0.41120090208607407,0.9968109339407745,0.5822245875465674,0.5630404463040446,436.9595536959554,133,18.549511854951184,52,50,96.15384615384616,136,22.0,2.6153846153846154,49,3,49,5.769230769230769,94.23076923076923,1.0,0.5,3.5,29.0,28.5,31.5
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3158,2163,3912,132,0.5934974628829167,0.9598784194528875,0.7334804320055742,0.6439506172839506,356.04938271604937,121,19.91769547325103,52,49,94.23076923076923,136,22.0,2.6153846153846154,37,15,37,28.846153846153847,71.15384615384616,7.0,5.0,11.0,45.0,34.5,51.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,3133,4037,0,0.1804865289040021,1.0,0.30578329270994903,0.5630404463040446,436.9595536959554,133,18.549511854951184,52,50,96.15384615384616,136,22.0,2.6153846153846154,49,3,49,5.769230769230769,94.23076923076923,1.0,0.5,3.5,29.0,28.5,31.5
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1782,2163,3912,0,0.45171102661596957,1.0,0.6223153483499214,0.6439506172839506,356.04938271604937,121,19.91769547325103,52,49,94.23076923076923,136,22.0,2.6153846153846154,37,15,37,28.846153846153847,71.15384615384616,7.0,5.0,11.0,45.0,34.5,51.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,3827,4426,0,0.22514679084834988,1.0,0.3675425549495951,0.5362898339997577,463.71016600024234,114,13.81315885132679,52,52,100.0,114,30.5,2.1923076923076925,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2179,2760,4410,16,0.44118242559222515,0.9927107061503417,0.6108774880852257,0.6150627615062761,384.93723849372384,110,15.341701534170154,52,50,96.15384615384616,114,30.5,2.1923076923076925,48,4,48,7.6923076923076925,92.3076923076923,3.5,2.25,5.25,27.5,25.75,29.5
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3112,1827,4248,178,0.6300870621583317,0.9458966565349544,0.7563494956859885,0.6992592592592592,300.74074074074076,97,15.96707818930041,52,48,92.3076923076923,114,30.5,2.1923076923076925,35,17,35,32.69230769230769,67.3076923076923,9.0,5.0,13.0,44.0,32.0,51.0
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,2760,4410,0,0.2,1.0,0.3333333333333333,0.6150627615062761,384.93723849372384,110,15.341701534170154,52,50,96.15384615384616,114,30.5,2.1923076923076925,48,4,48,7.6923076923076925,92.3076923076923,3.5,2.25,5.25,27.5,25.75,29.5
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8,normalized_life_last_30pct_full_window,False,7857,6075,1782,1508,1781,1827,4248,1,0.49362527716186255,0.999438832772166,0.6608534322820037,0.6992592592592592,300.74074074074076,97,15.96707818930041,52,48,92.3076923076923,114,30.5,2.1923076923076925,35,17,35,32.69230769230769,67.3076923076923,9.0,5.0,13.0,44.0,32.0,51.0
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,1,normalized_life_last_10pct_endpoint,True,9365,8253,1112,0,1112,5306,2947,0,0.1732626986600187,1.0,0.2953519256308101,0.3570822731128075,642.9177268871925,426,51.61759360232643,52,52,100.0,426,3.0,8.192307692307692,52,0,52,0.0,100.0,,,,,,
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,1,normalized_life_last_20pct_endpoint,True,9365,7170,2195,0,2193,4225,2945,2,0.3416952321595513,0.9990888382687927,0.5092302333681644,0.4107391910739191,589.2608089260809,424,59.13528591352859,52,52,100.0,426,3.0,8.192307692307692,52,2,50,3.8461538461538463,96.15384615384616,10.5,9.25,11.75,30.5,29.75,31.25
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,1,normalized_life_last_30pct_endpoint,True,9365,6075,3290,0,3246,3172,2903,44,0.5057650358367093,0.9866261398176291,0.6687268232385661,0.47786008230452676,522.1399176954733,410,67.48971193415638,52,52,100.0,426,3.0,8.192307692307692,43,12,40,23.076923076923077,76.92307692307692,3.0,0.75,3.75,49.0,41.75,58.75
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,1,normalized_life_last_20pct_full_window,False,7860,7170,690,1505,690,4225,2945,0,0.14038657171922686,1.0,0.24620874219446923,0.4107391910739191,589.2608089260809,424,59.13528591352859,52,52,100.0,426,3.0,8.192307692307692,52,2,50,3.8461538461538463,96.15384615384616,10.5,9.25,11.75,30.5,29.75,31.25
