candidate_id,detector_id,threshold_context,threshold_rule_id,ewma_id,ewma_alpha,persistence,minimum_engine_detection_coverage,mean_engine_detection_coverage,worst_false_positive_alerted_endpoints_per_1000,worst_false_alert_events_per_1000,worst_percent_engines_with_healthy_false_alert,median_policy_median_detection_delay,median_policy_median_lead_cycles,feasible
lof__global__quantile_0.900__ewma_off__persistence_1,lof,global,quantile_0.900,off,,1,0.0,11.538461538461538,702.0477402156791,143.04526748971193,100.0,,,False
lof__global__quantile_0.900__ewma_off__persistence_3,lof,global,quantile_0.900,off,,3,0.0,14.743589743589745,536.411002059857,48.724279835390945,100.0,,,False
lof__global__quantile_0.900__ewma_off__persistence_5,lof,global,quantile_0.900,off,,5,0.0,16.666666666666668,469.5262328850115,27.325102880658438,100.0,,,False
lof__global__quantile_0.900__ewma_off__persistence_8,lof,global,quantile_0.900,off,,8,0.0,20.512820512820515,408.21519447473645,17.15481171548117,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.900,alpha_0.20,0.2,1,0.0,8.333333333333334,594.4505028474495,33.08641975308642,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.900,alpha_0.20,0.2,3,0.0,10.256410256410257,546.589119108203,23.374485596707817,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.900,alpha_0.20,0.2,5,0.0,11.538461538461538,509.99636495819703,19.91769547325103,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.900,alpha_0.20,0.2,8,0.0,13.461538461538462,463.71016600024234,15.96707818930041,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.900,alpha_0.50,0.5,1,0.0,8.974358974358974,642.9177268871925,67.48971193415638,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_3,lof,global,quantile_0.900,alpha_0.50,0.5,3,0.0,10.256410256410257,555.676723615655,35.22633744855967,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_5,lof,global,quantile_0.900,alpha_0.50,0.5,5,0.0,11.538461538461538,503.93796195322915,25.020576131687243,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_8,lof,global,quantile_0.900,alpha_0.50,0.5,8,0.0,15.384615384615385,445.77729310553735,18.106995884773664,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_1,lof,global,quantile_0.900,alpha_0.80,0.8,1,0.0,8.974358974358974,676.3601114746153,108.47736625514403,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_3,lof,global,quantile_0.900,alpha_0.80,0.8,3,0.0,10.897435897435898,545.862110747607,43.95061728395062,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_5,lof,global,quantile_0.900,alpha_0.80,0.8,5,0.0,12.82051282051282,484.7934084575306,27.818930041152264,100.0,,,False
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_8,lof,global,quantile_0.900,alpha_0.80,0.8,8,0.0,17.307692307692307,424.330546467951,17.448559670781894,100.0,,,False
