candidate_id,detector_id,threshold_context,threshold_rule_id,threshold_kind,threshold_value,ewma_id,ewma_alpha,persistence
lof__global__quantile_0.900__ewma_off__persistence_1,lof,global,quantile_0.900,quantile,0.9,off,,1
lof__global__quantile_0.900__ewma_off__persistence_3,lof,global,quantile_0.900,quantile,0.9,off,,3
lof__global__quantile_0.900__ewma_off__persistence_5,lof,global,quantile_0.900,quantile,0.9,off,,5
lof__global__quantile_0.900__ewma_off__persistence_8,lof,global,quantile_0.900,quantile,0.9,off,,8
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5
lof__global__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,1
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,3
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,5
lof__global__quantile_0.900__ewma_alpha_0.50__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,8
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_1,lof,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,1
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_3,lof,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,3
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_5,lof,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,5
lof__global__quantile_0.900__ewma_alpha_0.80__persistence_8,lof,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,8
lof__global__quantile_0.950__ewma_off__persistence_1,lof,global,quantile_0.950,quantile,0.95,off,,1
lof__global__quantile_0.950__ewma_off__persistence_3,lof,global,quantile_0.950,quantile,0.95,off,,3
lof__global__quantile_0.950__ewma_off__persistence_5,lof,global,quantile_0.950,quantile,0.95,off,,5
lof__global__quantile_0.950__ewma_off__persistence_8,lof,global,quantile_0.950,quantile,0.95,off,,8
lof__global__quantile_0.950__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,1
lof__global__quantile_0.950__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,3
lof__global__quantile_0.950__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,5
lof__global__quantile_0.950__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,8
lof__global__quantile_0.950__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.950,quantile,0.95,alpha_0.50,0.5,1
lof__global__quantile_0.950__ewma_alpha_0.50__persistence_3,lof,global,quantile_0.950,quantile,0.95,alpha_0.50,0.5,3
