policy_id,detector_a,detector_b,engine_count,both_detected,only_a_detected,only_b_detected,neither_detected,both_healthy_false_alert,only_a_healthy_false_alert,only_b_healthy_false_alert,neither_healthy_false_alert,fusion_evaluated
normalized_life_last_10pct_endpoint,lof,one_class_svm,52,0,0,24,28,0,0,29,23,False
normalized_life_last_10pct_endpoint,lof,isolation_forest,52,0,0,0,52,0,0,0,52,False
normalized_life_last_10pct_endpoint,lof,pca_reconstruction,52,0,0,30,22,0,0,23,29,False
normalized_life_last_10pct_endpoint,lof,lstm_calibrated_ensemble,52,0,0,28,24,0,0,25,27,False
normalized_life_last_10pct_endpoint,one_class_svm,isolation_forest,52,0,24,0,28,0,29,0,23,False
normalized_life_last_10pct_endpoint,one_class_svm,pca_reconstruction,52,15,9,15,13,19,10,4,19,False
normalized_life_last_10pct_endpoint,one_class_svm,lstm_calibrated_ensemble,52,19,5,9,19,22,7,3,20,False
normalized_life_last_10pct_endpoint,isolation_forest,pca_reconstruction,52,0,0,30,22,0,0,23,29,False
normalized_life_last_10pct_endpoint,isolation_forest,lstm_calibrated_ensemble,52,0,0,28,24,0,0,25,27,False
normalized_life_last_10pct_endpoint,pca_reconstruction,lstm_calibrated_ensemble,52,20,10,8,14,16,7,9,20,False
normalized_life_last_20pct_endpoint,lof,one_class_svm,52,0,0,48,4,0,0,6,46,False
normalized_life_last_20pct_endpoint,lof,isolation_forest,52,0,0,0,52,0,0,0,52,False
normalized_life_last_20pct_endpoint,lof,pca_reconstruction,52,0,0,45,7,0,0,8,44,False
normalized_life_last_20pct_endpoint,lof,lstm_calibrated_ensemble,52,0,0,47,5,0,0,9,43,False
normalized_life_last_20pct_endpoint,one_class_svm,isolation_forest,52,0,48,0,4,0,6,0,46,False
normalized_life_last_20pct_endpoint,one_class_svm,pca_reconstruction,52,42,6,3,1,3,3,5,41,False
normalized_life_last_20pct_endpoint,one_class_svm,lstm_calibrated_ensemble,52,46,2,1,3,5,1,4,42,False
normalized_life_last_20pct_endpoint,isolation_forest,pca_reconstruction,52,0,0,45,7,0,0,8,44,False
normalized_life_last_20pct_endpoint,isolation_forest,lstm_calibrated_ensemble,52,0,0,47,5,0,0,9,43,False
normalized_life_last_20pct_endpoint,pca_reconstruction,lstm_calibrated_ensemble,52,42,3,5,2,5,3,4,40,False
normalized_life_last_30pct_endpoint,lof,one_class_svm,52,0,0,51,1,0,0,0,52,False
normalized_life_last_30pct_endpoint,lof,isolation_forest,52,0,0,0,52,0,0,0,52,False
normalized_life_last_30pct_endpoint,lof,pca_reconstruction,52,0,0,47,5,0,0,4,48,False
normalized_life_last_30pct_endpoint,lof,lstm_calibrated_ensemble,52,0,0,50,2,0,0,5,47,False
normalized_life_last_30pct_endpoint,one_class_svm,isolation_forest,52,0,51,0,1,0,0,0,52,False
normalized_life_last_30pct_endpoint,one_class_svm,pca_reconstruction,52,46,5,1,0,0,0,4,48,False
normalized_life_last_30pct_endpoint,one_class_svm,lstm_calibrated_ensemble,52,49,2,1,0,0,0,5,47,False
normalized_life_last_30pct_endpoint,isolation_forest,pca_reconstruction,52,0,0,47,5,0,0,4,48,False
normalized_life_last_30pct_endpoint,isolation_forest,lstm_calibrated_ensemble,52,0,0,50,2,0,0,5,47,False
normalized_life_last_30pct_endpoint,pca_reconstruction,lstm_calibrated_ensemble,52,46,1,4,1,2,2,3,45,False
