candidate_id,detector_id,policy_id,engine,onset_cycle,max_cycle,first_detection_end_cycle,detected,missed,false_event_count,healthy_false_alert,crossing_event_count,total_event_count,first_alert_delay,lead_cycles
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,5,139,154,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,7,157,174,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,8,136,151,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,14,174,193,179.0,True,False,0,False,0,1,5.0,14.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,17,163,180,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,24,172,191,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,26,169,187,179.0,True,False,0,False,0,1,10.0,8.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,27,159,176,160.0,True,False,0,False,0,1,1.0,16.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,30,150,166,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,32,253,281,,False,True,3,True,1,3,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,41,236,262,243.0,True,False,0,False,0,1,7.0,19.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,42,199,221,,False,True,2,True,1,2,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,46,181,201,188.0,True,False,0,False,0,1,7.0,13.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,52,157,174,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,66,154,170,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,73,216,239,225.0,True,False,0,False,0,1,9.0,14.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,81,260,288,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,94,276,306,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,102,148,164,151.0,True,False,0,False,0,1,3.0,13.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,106,245,272,252.0,True,False,1,True,0,2,7.0,20.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,109,199,220,209.0,True,False,1,True,0,2,10.0,11.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,114,183,203,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,120,117,129,122.0,True,False,0,False,0,1,5.0,7.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,125,152,168,156.0,True,False,0,False,0,1,4.0,12.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,126,180,199,190.0,True,False,0,False,0,1,10.0,9.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,128,273,303,279.0,True,False,1,True,0,2,6.0,24.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,134,223,247,,False,True,2,True,1,2,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,140,193,214,208.0,True,False,0,False,0,1,15.0,6.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,144,202,224,,False,True,2,True,1,2,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,157,214,237,222.0,True,False,0,False,0,1,8.0,15.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,163,183,203,203.0,True,False,0,False,0,1,20.0,0.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,165,149,165,156.0,True,False,1,True,0,2,7.0,9.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,166,184,204,191.0,True,False,2,True,0,3,7.0,13.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,167,209,232,210.0,True,False,0,False,0,1,1.0,22.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,172,157,174,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,175,182,202,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,178,134,148,139.0,True,False,0,False,0,1,5.0,9.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,180,268,297,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,198,185,205,203.0,True,False,1,True,0,2,18.0,2.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_10pct_endpoint,199,198,219,201.0,True,False,0,False,0,1,3.0,18.0
