candidate_id,detector_id,event_id,engine,event_start_cycle,event_end_cycle,event_duration_endpoints,policy_id,onset_cycle,false_pre_onset_event,valid_post_onset_detection_event,crosses_onset
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_7_event_001,7,148,174,27,normalized_life_last_10pct_endpoint,157,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_14_event_001,14,179,193,15,normalized_life_last_10pct_endpoint,174,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_24_event_001,24,169,191,23,normalized_life_last_10pct_endpoint,172,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_26_event_001,26,179,187,9,normalized_life_last_10pct_endpoint,169,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_27_event_001,27,160,176,17,normalized_life_last_10pct_endpoint,159,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_30_event_001,30,135,166,32,normalized_life_last_10pct_endpoint,150,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_001,32,37,50,14,normalized_life_last_10pct_endpoint,253,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_002,32,206,212,7,normalized_life_last_10pct_endpoint,253,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_003,32,242,281,40,normalized_life_last_10pct_endpoint,253,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_41_event_001,41,243,262,20,normalized_life_last_10pct_endpoint,236,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_42_event_001,42,127,162,36,normalized_life_last_10pct_endpoint,199,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_42_event_002,42,173,221,49,normalized_life_last_10pct_endpoint,199,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_46_event_001,46,188,201,14,normalized_life_last_10pct_endpoint,181,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_52_event_001,52,146,174,29,normalized_life_last_10pct_endpoint,157,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_66_event_001,66,146,170,25,normalized_life_last_10pct_endpoint,154,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_73_event_001,73,225,239,15,normalized_life_last_10pct_endpoint,216,False,True,False
