,count,mean,std,min,25%,50%,75%,max
sensor_1,38034.0,-2.126640172615318e-15,0.8360611451155593,-0.998683805861397,-0.7744335619182738,-1.1368683772161605e-13,1.00131792878875,1.2912663515292229
sensor_2,38034.0,4.666857541535445e-14,1.0000131463916446,-3.281237737262725,-0.9019904864619696,-0.4339813366144586,1.0078101103778674,3.613589036855547
sensor_3,38034.0,-5.151687038260641e-15,1.0000131463916446,-3.32325194379722,-0.9026407749140859,-0.071751664809974,0.8954885631205508,3.8589422155151114
sensor_4,38034.0,2.8448611190394925e-15,1.0000131463916446,-3.836695063579929,-0.8762418582144108,-0.1049786994405237,0.8513416240188145,3.919153973719221
sensor_5,38034.0,2.0806829992975012e-16,0.8360611451155591,-0.9986838058613924,-0.774433561918293,8.881784197001252e-16,1.0013179287887546,1.291266351529203
sensor_6,38034.0,-4.0619415772952376e-14,1.0000131463916446,-1.866598532233063,-0.7796743861195833,0.5335558417906566,1.0013845648580542,2.933710215814376
sensor_7,38034.0,1.4215711977422587e-14,1.0000131463916446,-5.044654938578722,-0.7920176495191833,-0.4026275504577581,1.0061797435425746,3.656952059977582
sensor_8,38034.0,4.0149307517111097e-13,1.0000131463916446,-2.50407643897256,-0.8066234187669064,-0.4712517517115643,1.00140339660907,7.775112545668718
sensor_9,38034.0,6.64772380219998e-15,1.0000131463916446,-2.2291420975987557,-0.8575905541569689,-0.18747113297043724,0.8314819085057061,7.915517065634166
sensor_10,38034.0,1.3073433357363808e-13,1.0000131463916448,-11.178352094810355,-0.1792389595822173,-0.1792389595822173,0.5303300858899107,5.579144190132984
sensor_11,38034.0,9.829604192236796e-15,1.0000131463916446,-2.761322042949999,-0.8578816679195197,-0.1060234372531164,0.8054969796279261,3.868765606945285
sensor_12,38034.0,1.2383403213596782e-14,1.0000131463916446,-3.6614633028198256,-0.7880877421334244,-0.3858150624855948,1.0058823370628263,3.5875001255480363
sensor_13,38034.0,-8.754893826021872e-13,1.0000131463916446,-3.0643524057262352,-0.6230343795599562,-0.1660506761662095,0.3753903062793883,7.924778264675381
sensor_14,38034.0,1.823341510495498e-15,1.0000131463916446,-2.5580078158934625,-0.6104423610569794,-0.1307041632942083,0.3807121818986058,7.936220860999559
sensor_15,38034.0,3.311905563326249e-15,1.0000131463916446,-3.128797690462606,-0.8218862845515019,-0.0730585589412373,0.7746247065036207,4.008687145402054
sensor_16,38034.0,2.1297226659476106e-17,0.3898712342719095,-0.5112737321154011,-6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,1.9558994276167645
sensor_17,38034.0,-6.2763300601031514e-15,1.0000131463916448,-3.341198122276986,-0.9613969899813052,-0.1044187479183051,0.8540513779448253,4.41515466158028
sensor_18,38034.0,5.797375982487082e-15,0.8360611451155593,-0.9986838058613866,-0.7744335619182826,0.0,1.0013179287887606,1.291266351529214
sensor_19,38034.0,-2.1177663281738698e-15,5.060732038065558e-15,-1.4210854715202004e-14,0.0,0.0,0.0,0.0
sensor_20,38034.0,3.557010487687939e-16,1.0000131463916446,-3.456315762697314,-0.8258335544095585,-0.4072126619235679,1.0156897639774105,4.256121492200983
sensor_21,38034.0,-3.6332321409955374e-15,1.0000131463916446,-3.611946374544272,-0.8256521165374108,-0.409442254349147,1.0159052369048254,4.000439247016966
