detector_id,policy_id,engine,onset_cycle,max_cycle,first_detection_end_cycle,detected,missed,false_event_count,healthy_false_alert,crossing_event_count,total_event_count,first_alert_delay,lead_cycles
pca_reconstruction,normalized_life_last_10pct_endpoint,3,186,206,201.0,True,False,0,False,0,1,15.0,5.0
pca_reconstruction,normalized_life_last_10pct_endpoint,4,212,235,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,11,244,271,246.0,True,False,1,True,0,2,2.0,25.0
pca_reconstruction,normalized_life_last_10pct_endpoint,15,189,209,204.0,True,False,0,False,0,1,15.0,5.0
pca_reconstruction,normalized_life_last_10pct_endpoint,28,181,200,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,31,309,343,309.0,True,False,0,False,0,2,0.0,34.0
pca_reconstruction,normalized_life_last_10pct_endpoint,33,176,195,179.0,True,False,0,False,0,1,3.0,16.0
pca_reconstruction,normalized_life_last_10pct_endpoint,34,185,205,199.0,True,False,0,False,0,1,14.0,6.0
pca_reconstruction,normalized_life_last_10pct_endpoint,37,190,210,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,38,160,177,175.0,True,False,0,False,0,1,15.0,2.0
pca_reconstruction,normalized_life_last_10pct_endpoint,40,174,193,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,43,190,211,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,50,200,222,,False,True,0,False,0,0,,
pca_reconstruction,normalized_life_last_10pct_endpoint,55,144,159,155.0,True,False,0,False,0,1,11.0,4.0
pca_reconstruction,normalized_life_last_10pct_endpoint,56,147,163,152.0,True,False,0,False,0,1,5.0,11.0
pca_reconstruction,normalized_life_last_10pct_endpoint,64,254,282,268.0,True,False,0,False,0,1,14.0,14.0
pca_reconstruction,normalized_life_last_10pct_endpoint,78,145,161,,False,True,0,False,0,0,,
pca_reconstruction,normalized_life_last_10pct_endpoint,79,163,181,176.0,True,False,0,False,0,1,13.0,5.0
pca_reconstruction,normalized_life_last_10pct_endpoint,83,154,170,169.0,True,False,1,True,0,2,15.0,1.0
pca_reconstruction,normalized_life_last_10pct_endpoint,99,182,202,186.0,True,False,0,False,0,1,4.0,16.0
pca_reconstruction,normalized_life_last_10pct_endpoint,103,253,280,,False,True,0,False,0,0,,
pca_reconstruction,normalized_life_last_10pct_endpoint,107,131,145,131.0,True,False,0,False,0,1,0.0,14.0
pca_reconstruction,normalized_life_last_10pct_endpoint,108,141,156,155.0,True,False,0,False,0,1,14.0,1.0
pca_reconstruction,normalized_life_last_10pct_endpoint,111,181,200,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,117,160,177,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,124,241,267,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,129,182,202,198.0,True,False,0,False,0,1,16.0,4.0
pca_reconstruction,normalized_life_last_10pct_endpoint,132,165,183,179.0,True,False,0,False,0,1,14.0,4.0
pca_reconstruction,normalized_life_last_10pct_endpoint,136,145,160,,False,True,0,False,0,0,,
pca_reconstruction,normalized_life_last_10pct_endpoint,145,226,251,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,150,200,222,,False,True,1,True,1,1,,
pca_reconstruction,normalized_life_last_10pct_endpoint,153,263,292,272.0,True,False,1,True,0,2,9.0,20.0
pca_reconstruction,normalized_life_last_10pct_endpoint,156,270,299,297.0,True,False,0,False,0,1,27.0,2.0
pca_reconstruction,normalized_life_last_10pct_endpoint,158,278,308,289.0,True,False,0,False,0,1,11.0,19.0
pca_reconstruction,normalized_life_last_10pct_endpoint,162,175,194,189.0,True,False,0,False,0,1,14.0,5.0
pca_reconstruction,normalized_life_last_10pct_endpoint,169,167,185,182.0,True,False,0,False,0,1,15.0,3.0
