window_index,op_mode,is_healthy,reconstruction_error
0,0,1,0.5981363
1,2,1,0.5810958
2,0,1,0.5854765
3,0,1,0.6001653
4,3,1,0.6238991
5,0,1,0.62593144
6,0,1,0.6368802
7,0,1,0.6457704
8,0,1,0.6457786
9,0,1,0.6570684
10,0,1,0.6578211
11,2,1,0.65254444
12,1,1,0.6642892
13,1,1,0.6648273
14,3,1,0.68996364
15,1,0,0.70879406
16,1,0,0.6850375
17,1,0,0.68436325
18,1,0,0.68469626
19,1,0,0.67910373
20,2,0,0.71195316
21,1,0,0.7106278
22,2,0,0.71248376
23,2,0,0.7230546
24,1,0,0.74681413
25,2,0,0.7632926
26,0,0,0.76989913
27,0,0,0.76641417
28,1,0,0.77619874
29,0,0,0.7642113
30,0,0,0.772969
31,1,0,0.7644291
32,1,0,0.7721718
33,0,0,0.7564425
34,0,0,0.76054317
35,2,0,0.7686492
36,0,0,0.79181486
37,1,0,0.7954458
38,1,0,0.8071328
39,1,0,0.8031415
40,0,0,0.79716265
41,3,0,0.7889338
42,0,0,0.7771645
43,0,0,0.77502155
44,2,0,0.76987666
45,3,0,0.75092757
46,1,0,0.7529724
47,0,0,0.73837686
48,0,0,0.7234714
49,1,0,0.7278542
50,0,0,0.7200377
51,1,0,0.7265627
52,1,0,0.7460054
53,1,0,0.73003197
54,0,0,0.7127795
55,3,0,0.7205442
56,2,0,0.7136614
57,2,0,0.70836663
58,3,0,0.71477664
59,2,0,0.72230047
60,2,0,0.7367119
61,0,0,0.737587
62,2,0,0.72293466
63,0,0,0.7143281
64,0,0,0.69551307
65,3,0,0.70699054
66,1,0,0.6836851
67,0,0,0.6673588
68,0,0,0.6718719
69,1,0,0.66950166
70,0,0,0.68563724
71,0,0,0.6980323
72,0,0,0.7282129
73,1,0,0.7477598
74,1,0,0.77113587
75,2,0,0.78971225
76,0,0,0.8037943
77,3,0,0.8289525
78,0,0,0.83591986
79,0,0,0.83706135
80,0,0,0.8535728
81,0,0,0.86735296
