score_source,seed,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc
lstm_seed_43,43.0,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6672619240877471,0.9636917510702452
lstm_seed_43,43.0,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8869004241840802,0.9673678926684524
lstm_seed_43,43.0,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.8965725625957498,0.9214412548313258
lstm_seed_43,43.0,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.9141972208599286,0.9950817617690457
lstm_seed_43,43.0,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9685644742277313,0.9918813650912417
lstm_seed_44,44.0,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6393069943428397,0.9593754113394127
lstm_seed_44,44.0,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8818037937248446,0.9664056131120875
lstm_seed_44,44.0,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9023488521333264,0.9239715561559534
lstm_seed_44,44.0,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.8927406980296895,0.9937663978331615
lstm_seed_44,44.0,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9705272897541056,0.9922336303131913
lstm_seed_45,45.0,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.640118766710516,0.9593854360350325
lstm_seed_45,45.0,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8791180701947763,0.964564227688769
lstm_seed_45,45.0,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.8971774063192592,0.920539082141919
lstm_seed_45,45.0,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.8954024161620261,0.9939208255007782
lstm_seed_45,45.0,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9680382413573032,0.9912552594994296
lstm_calibrated_ensemble,,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6715820225235541,0.9637933055954364
lstm_calibrated_ensemble,,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.89387346508497,0.9676662758964681
lstm_calibrated_ensemble,,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9009060879145776,0.9224078702140168
lstm_calibrated_ensemble,,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.9149052038691399,0.9951124855982052
lstm_calibrated_ensemble,,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9717958764134251,0.9921605631070651
