engine,max_cycle,stratum,role
1,149,0,development
2,269,4,development
6,175,1,monitor
9,199,2,development
10,184,1,development
12,249,4,monitor
13,227,3,monitor
16,154,0,development
18,209,3,monitor
19,163,0,development
20,154,0,development
21,189,1,development
22,192,2,development
23,211,3,development
25,205,2,development
29,151,0,development
35,196,2,development
36,203,2,development
39,214,3,monitor
44,205,2,monitor
45,151,0,development
47,246,4,monitor
48,239,3,monitor
49,168,1,development
51,293,4,development
53,148,0,development
54,199,2,development
57,140,0,development
58,162,0,development
59,194,2,development
60,177,1,monitor
61,218,3,development
62,184,1,monitor
63,168,1,development
65,206,2,development
67,145,0,development
68,185,1,development
69,136,0,development
70,156,0,development
71,194,2,development
72,196,2,development
74,158,0,monitor
75,231,3,development
76,244,4,development
77,185,1,monitor
80,221,3,development
82,200,2,monitor
84,259,4,development
85,347,4,development
86,190,1,development
87,170,1,development
88,365,4,monitor
89,188,1,development
90,188,1,development
91,245,4,development
92,188,1,development
93,189,1,development
95,198,2,development
96,208,3,development
97,145,0,monitor
98,167,0,development
100,212,3,development
101,211,3,development
104,228,3,development
105,303,4,development
110,221,3,development
112,378,4,development
113,232,3,development
115,206,2,monitor
116,207,2,development
118,344,4,development
119,174,1,development
121,210,3,development
122,185,1,development
123,226,3,development
127,256,4,development
130,182,1,monitor
131,280,4,monitor
133,159,0,development
135,294,4,development
137,148,0,monitor
138,200,2,monitor
139,194,2,development
141,163,0,monitor
142,208,3,monitor
143,166,0,development
146,263,4,development
147,207,2,monitor
148,279,4,development
149,289,4,monitor
151,177,1,development
152,184,1,development
154,193,2,development
155,226,3,development
159,241,4,development
160,212,3,development
161,224,3,development
164,249,4,development
168,217,3,development
171,258,4,development
173,151,0,development
174,193,2,development
176,164,0,development
177,181,1,development
179,181,1,development
181,255,4,development
182,200,2,development
183,207,3,development
184,171,1,development
185,162,0,development
188,148,0,development
189,209,3,development
190,257,4,development
191,219,3,development
193,172,1,development
194,148,0,development
195,190,2,development
196,239,3,development
197,154,0,development
200,227,3,development
202,197,2,development
203,269,4,development
204,237,3,development
205,198,2,development
207,184,1,development
209,201,2,development
211,214,3,development
213,196,2,development
214,146,0,development
216,229,3,development
219,156,0,monitor
220,234,3,monitor
222,195,2,monitor
223,218,3,development
224,174,1,development
225,156,0,development
226,178,1,development
228,262,4,development
229,176,1,development
232,242,4,development
233,190,2,monitor
234,159,0,monitor
235,183,1,development
240,266,4,development
241,183,1,development
242,273,4,development
244,128,0,development
246,194,2,development
247,197,2,development
249,202,2,development
250,184,1,monitor
252,135,0,development
254,260,4,development
257,309,4,development
258,143,0,monitor
260,316,4,monitor
