k,split,op_mode,row_count,row_fraction,engine_count,engine_fraction,sensor_scaler_fit_rows
4,train,0,9666,0.30105584451988665,156,1.0,2882
4,train,1,12837,0.3998193540349457,156,1.0,3906
4,train,2,4755,0.14809854548852275,156,1.0,1342
4,train,3,4849,0.15102625595664496,156,1.0,1431
4,validation,0,3253,0.29918145865906376,52,1.0,
4,validation,1,4339,0.3990618964407247,52,1.0,
4,validation,2,1611,0.1481651798031822,52,1.0,
4,validation,3,1670,0.15359146509702934,52,1.0,
6,train,0,4828,0.15037219297972404,156,1.0,1443
6,train,1,4771,0.1485968791852244,156,1.0,1449
6,train,2,4755,0.14809854548852275,156,1.0,1342
6,train,3,4849,0.15102625595664496,156,1.0,1431
6,train,4,4838,0.15068365154016258,156,1.0,1439
6,train,5,8066,0.25122247484972127,156,1.0,2457
6,validation,0,1598,0.14696955761979213,52,1.0,
6,validation,1,1627,0.1496367147981238,52,1.0,
6,validation,2,1611,0.1481651798031822,52,1.0,
6,validation,3,1670,0.15359146509702934,52,1.0,
6,validation,4,1655,0.1522119010392716,52,1.0,
6,validation,5,2712,0.24942518164260094,52,1.0,
8,train,0,1581,0.04924159840533217,156,1.0,460
8,train,1,4828,0.15037219297972404,156,1.0,1443
8,train,2,4755,0.14809854548852275,156,1.0,1342
8,train,3,5439,0.16940231102251846,156,1.0,1640
8,train,4,4838,0.15068365154016258,156,1.0,1439
8,train,5,4771,0.1485968791852244,156,1.0,1449
8,train,6,3268,0.1017846575513128,156,1.0,971
8,train,7,2627,0.0818201638272028,156,1.0,817
8,validation,0,533,0.049020509518992,52,1.0,
8,validation,1,1598,0.14696955761979213,52,1.0,
8,validation,2,1611,0.1481651798031822,52,1.0,
8,validation,3,1783,0.16398418099880438,52,1.0,
8,validation,4,1655,0.1522119010392716,52,1.0,
8,validation,5,1627,0.1496367147981238,52,1.0,
8,validation,6,1137,0.10457095557803733,52,1.0,
8,validation,7,929,0.08544100064379656,52,1.0,
